name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets,colors,tags,nutrition
Beef Quesadilla Por Favor,beef-quesadilla,Freshly grilled beef & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2300.00,,,,,"{""bgColor"": ""from-amber-800 via-orange-700 to-red-700"", ""accentColor"": ""bg-orange-600""}","[{""label"": ""High-Protein"", ""icon"": ""💪""}, {""label"": ""Wholesome"", ""icon"": ""🌾""}]","{""fat"": ""50.5g"", ""protein"": ""41.1g"", ""carbs"": ""59.2g"", ""calories"": ""929""}"
Chicken Quesadilla Por Favor,chicken-quesadilla,Freshly grilled tender chicken & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2400.00,,,,,"{""bgColor"": ""from-yellow-600 via-orange-500 to-amber-600"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""High-Protein"", ""icon"": ""💪""}, {""label"": ""Lean"", ""icon"": ""🏃""}]","{""fat"": ""28.4g"", ""protein"": ""33.3g"", ""carbs"": ""62.3g"", ""calories"": ""715""}"
Prawn Quesadilla Por Favor,prawn-quesadilla,Freshly grilled garlic prawns & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2500.00,,,,,"{""bgColor"": ""from-orange-500 via-pink-500 to-red-500"", ""accentColor"": ""bg-pink-500""}","[{""label"": ""Seafood"", ""icon"": ""🦐""}, {""label"": ""High-Protein"", ""icon"": ""💪""}, {""label"": ""Omega-3"", ""icon"": ""🐟""}]","{""fat"": ""40.3g"", ""protein"": ""50.9g"", ""carbs"": ""34.9g"", ""calories"": ""743""}"
Oh My....OMEGA! Salmon,omega-salmon,Perfectly baked Norwegian salmon fillet crowned with a tantalizing citrus orange compote on a bed of luxuriously creamy avocado hollandaise. Accompanied by roasted sweet potato wedges and a refreshing crisp garden salad,,category:Grills,,,,,3800.00,,,,,"{""bgColor"": ""from-orange-600 via-salmon-500 to-pink-600"", ""accentColor"": ""bg-salmon-500""}","[{""label"": ""Premium"", ""icon"": ""⭐""}, {""label"": ""Omega-3"", ""icon"": ""🐟""}, {""label"": ""Heart-Healthy"", ""icon"": ""❤️""}]","{""fat"": ""40.3g"", ""protein"": ""50.9g"", ""carbs"": ""34.9g"", ""calories"": ""743""}"
Power Steak O'clock Heart Healthy,power-steak,Tender flavorful roasted Beef Steak paired with creamy green pea puree savory eggplant relish served with golden-baked baby potatoes fresh crisp garden salad and roasted garlic,,category:Grills,,,,,3400.00,,,,,"{""bgColor"": ""from-red-800 via-red-700 to-amber-700"", ""accentColor"": ""bg-red-700""}","[{""label"": ""High-Protein"", ""icon"": ""💪""}, {""label"": ""Heart-Healthy"", ""icon"": ""❤️""}, {""label"": ""Iron-Rich"", ""icon"": ""🔴""}]","{""fat"": ""31g"", ""protein"": ""70.2g"", ""carbs"": ""39.3g"", ""calories"": ""731""}"
Fin-Tastic Barramundi,fin-tastic-barramundi,A succulent Barramundi fish fillet kissed by the grill crowned with cherry tomatoes and basil compote. Served alongside baked baby potatoes and a crisp green salad,,category:Grills,,,,,3900.00,,,,,"{""bgColor"": ""from-blue-600 via-teal-600 to-green-600"", ""accentColor"": ""bg-teal-600""}","[{""label"": ""Lean Fish"", ""icon"": ""🐟""}, {""label"": ""Low-Fat"", ""icon"": ""💚""}, {""label"": ""High-Protein"", ""icon"": ""💪""}]","{""fat"": ""16.7g"", ""protein"": ""48.7g"", ""carbs"": ""40.4g"", ""calories"": ""510""}"
Honey Mustard Chicken,honey-mustard-chicken,Succulent baked chicken marinated in a rich honey mustard blend delivering the perfect balance of sweet and tangy. Topped with a vibrant pineapple & watermelon salsa and drizzled with our signature honey mustard sauce. Served alongside golden roasted sweet potato wedges and a refreshing crisp green salad,,category:Grills,,,,,1900.00,,,,,"{""bgColor"": ""from-amber-500 via-yellow-500 to-orange-500"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""Sweet & Tangy"", ""icon"": ""🍯""}, {""label"": ""Lean Protein"", ""icon"": ""🐔""}]","{""fat"": ""15.5g"", ""protein"": ""57.4g"", ""carbs"": ""56.9g"", ""calories"": ""648""}"
Thai Spiced Chicken,thai-spiced-chicken,Succulent chicken baked to perfection in our signature Thai-spiced marinade bursting with bold exotic flavor. Drizzled with a vibrant cilantro dressing and topped with a juicy tropical pineapple & watermelon salsa that delivers a sweet-and-spicy punch. Served alongside velvety sweet potato mash and a crisp green salad,,category:Grills,,,,,1900.00,,,,,"{""bgColor"": ""from-red-600 via-orange-600 to-yellow-600"", ""accentColor"": ""bg-orange-600""}","[{""label"": ""Spicy"", ""icon"": ""🌶️""}, {""label"": ""Exotic"", ""icon"": ""🌏""}, {""label"": ""High-Protein"", ""icon"": ""💪""}]","{""fat"": ""36.4g"", ""protein"": ""76.5g"", ""carbs"": ""110.2g"", ""calories"": ""1105""}"
Vitamin Rich Coconut Chicken,coconut-chicken,Tender oven-baked chicken coated in a nutrient-dense blend of coconut and kurakkan breadcrumbs offering a warm wholesome crunch. Finished with a fragrant lemongrass sauce and topped with finely sliced green chillies for a subtle kick. Served with velvety sweet potato mash and a crisp green salad,,category:Grills,,,,,2400.00,,,,,"{""bgColor"": ""from-amber-600 via-orange-500 to-yellow-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Coconut"", ""icon"": ""🥥""}, {""label"": ""Vitamin-Rich"", ""icon"": ""💊""}, {""label"": ""Crunchy"", ""icon"": ""🥖""}]","{""fat"": ""22.7g"", ""protein"": ""80.8g"", ""carbs"": ""84.50g"", ""calories"": ""938""}"
Vegetable Shepherd's Pie,vegetable-shepherds-pie,A wholesome plant-based twist on a classic — hearty chickpeas red kidney beans cauliflower carrot and spinach crowned with a creamy sweet potato mash,,category:Grills,,,,,1100.00,,,,,"{""bgColor"": ""from-green-700 via-emerald-600 to-teal-600"", ""accentColor"": ""bg-green-600""}","[{""label"": ""Vegetarian"", ""icon"": ""🌱""}, {""label"": ""Plant-Based"", ""icon"": ""🥕""}, {""label"": ""High-Fiber"", ""icon"": ""🌾""}]","{""fat"": ""9.4g"", ""protein"": ""27.0g"", ""carbs"": ""78.4g"", ""calories"": ""562""}"
Chicken Rice Bowl,chicken-rice-bowl,Baked chicken complemented by a golden fried egg and a vibrant medley of crunchy peanuts paired with the vegetable of the day. All of this is crowned with a flavorful coconut sambol and served over a bed of fragrant steamed garlic basmati rice,,category:Rice Bowls,,,,,1400.00,,,,,"{""bgColor"": ""from-yellow-600 via-amber-500 to-orange-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Comfort Food"", ""icon"": ""🍚""}, {""label"": ""Coconut"", ""icon"": ""🥥""}]","{""fat"": ""26.5g"", ""protein"": ""23.8g"", ""carbs"": ""37.7g"", ""calories"": ""505""}"
Beef Rice Bowl,beef-rice-bowl,Roast Beef Slices complemented by a golden fried egg and a vibrant medley of crunchy peanuts paired with the vegetable of the day. All of this is crowned with a flavorful coconut sambol and served over a bed of fragrant steamed garlic basmati rice,,category:Rice Bowls,,,,,1500.00,,,,,"{""bgColor"": ""from-red-700 via-amber-600 to-orange-600"", ""accentColor"": ""bg-red-600""}","[{""label"": ""Hearty"", ""icon"": ""🥩""}, {""label"": ""Protein-Rich"", ""icon"": ""💪""}]","{""fat"": ""26.2g"", ""protein"": ""28.4g"", ""carbs"": ""37.0g"", ""calories"": ""512""}"
